SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message
COSMOS 777,8416,1/25/1976,62,440,430,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 838,8932,5/17/1977,40,445,415,65.1,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1260,12364,5/8/1982,68,750,450,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1220,12054,6/20/1982,83,885,570,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1306,12828,7/12/1982,8,405,380,64.9,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1355,13150,8/8/1983,29,395,360,65.1,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1405,13508,12/20/1983,32,340,310,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1461,14064,3/11/1985,187,890,570,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1588,15167,2/23/1986,45,440,410,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1646,15653,11/20/1987,24,410,385,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
COSMOS 1484,14207,10/18/1993,49,595,550,97.5,UNKNOWN,,TRUE,UNKNOWN CAUSE
RS-15 R/B,23440,12/26/1994,26,2200,1880,64.8,UNKNOWN,ROKOT THIRD STAGE,TRUE,UNKNOWN CAUSE
COSMOS 2367,26040,11/21/2001,17,415,405,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
USA 73 (DMSP 5D2 F11),21798,4/15/2004,85,850,830,98.7,UNKNOWN,,TRUE,UNKNOWN CAUSE
METEOR 2-17,18820,6/21/2005,45,960,930,82.5,UNKNOWN,,TRUE,UNKNOWN CAUSE
ALOS-1 R/B,28932,8/8/2006,24,700,550,98.2,UNKNOWN,H-IIA SECOND STAGE,TRUE,UNKNOWN CAUSE
DMSP 5D-3 F17 R/B,29523,11/4/2006,65,865,830,98.8,UNKNOWN,DELTA IV SECOND STAGE,TRUE,UNKNOWN CAUSE
COSMOS 2421,29247,3/14/2008,509,420,400,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
NOAA 16,26536,11/25/2015,458,858,842,98.9,UNKNOWN,,TRUE,UNKNOWN CAUSE
