SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
COSMOS 1813,1987-004A,17297,15-Jan-87,29-Jan-87,195,0,415,360,72.8,DELIBERATE,SELF-DESTRUCT,1987,1987,,,,,,,,
COSMOS 1823,1987-020A,17535,20-Feb-87,17-Dec-87,150,76,1525,1480,73.6,BATTERY,,1987,1987,,,,,,,,
COSMOS 1866,1987-059A,18184,9-Jul-87,26-Jul-87,9,0,255,155,67.1,DELIBERATE,SELF-DESTRUCT,1987,1987,,,,,,,,
COSMOS 1869,1987-062A,18214,16-Jul-87,27-Nov-97,2,1,635,605,83,UNKNOWN,,1987,1997,,,,,,,,
METEOR 2-16 R/B,1987-068B,18313,18-Aug-87,15-Feb-98,108,42,960,940,82.6,PROPULSION,TSYKLON THIRD STAGE,1987,1998,,,,,,,,
AUSSAT K3/ECS 4 R/B,1987-078C,18352,16-Sep-87,19-Sep-87,4,1,36515,245,6.9,PROPULSION,ARIANE 3 FINAL STAGE,1987,1987,,,,,,,,
COSMOS 1883-85 ULLAGE MOTOR,1987-079G,18374,16-Sep-87,1-Dec-96,14,11,19120,335,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1987,1996,,,,,,,,
COSMOS 1883-85 ULLAGE MOTOR,1987-079H,18375,16-Sep-87,23-Apr-03,42,11,18540,755,65.2,PROPULSION,PROTON-K BLOCK DM SOZ,1987,2003,,,,,,,,
COSMOS 1906,1987-108A,18713,26-Dec-87,31-Jan-88,37,0,265,245,82.6,DELIBERATE,SELF-DESTRUCT,1987,1988,,,,,,,,
EKRAN 17 ULLAGE MOTOR,1987-109E,18719,27-Dec-87,22-May-97,1,0,22975,310,46.6,PROPULSION,PROTON-K BLOCK DM SOZ,1987,1997,,,,,,,,
METEOR 2-17,1988-005A,18820,30-Jan-88,21-Jun-05,45,45,960,930,82.5,UNKNOWN,,1988,2005,,,,,,,,
DMSP 5D-2 F9 (USA 29),1988-006A,18822,3-Feb-88,17-Dec-12,10,3,810,800,98.8,UNKNOWN,,1988,2012,,,,,,,,
COSMOS 1916,1988-007A,18823,3-Feb-88,27-Feb-88,1,0,230,150,64.8,DELIBERATE,SELF-DESTRUCT,1988,1988,,,,,,,,
COSMOS 1934,1988-023A,18985,22-Mar-88,23-Dec-91,3,3,1010,950,83,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (13475),1988,1991,,,,,,,,
INTELSAT 513 R/B,1988-040B,19122,17-May-88,9-Jul-02,8,8,35445,535,7,PROPULSION,ARIANE 2 R/B,1988,2002,,,,,,,,
COSMOS 1970-72 ULLAGE MOTOR,1988-085F,19535,16-Sep-88,4-Aug-03,79,10,18515,720,65.3,PROPULSION,PROTON-K BLOCK DM SOZ,1988,2003,,,,,,,,
COSMOS 1970-72 ULLAGE MOTOR,1988-085G,19537,16-Sep-88,9-Mar-99,1,1,18950,300,64.6,PROPULSION,PROTON-K BLOCK DM SOZ,1988,1999,,,,,,,,
COSMOS 1682,1985-082A,16054,19-Sep-85,18-Dec-86,23,0,475,385,65,UNKNOWN,COSMOS 699 CLASS,1985,1986,,,,,,,,
SKYNET 4B/ASTRA 1A R/B,1988-109C,19689,11-Dec-88,17-Feb-98,18,17,35875,435,7.3,PROPULSION,ARIANE 4 H10 FINAL STAGE,1988,1998,,,,,,,,
COSMOS 1987-89 ULLAGE MOTOR,1989-001H,19856,10-Jan-89,13-Nov-03,1,1,18740,710,65.4,PROPULSION,PROTON-K BLOCK DM SOZ,1989,2003,,,,,,,,
ULLAGE MOTOR,1989-001G,19755,10-Jan-89,3-Aug-98,16,6,19055,340,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1998,,,,,,,,
INTELSAT 515 R/B,1989-006B,19773,27-Jan-89,1-Jan-01,87,86,35720,510,8.4,PROPULSION,ARIANE 2 R/B,1989,2001,,,,,,,,
COSMOS 2022-24 ULLAGE MOTOR,1989-039G,20081,31-May-89,10-Jun-06,120,43,18410,655,65.1,PROPULSION,PROTON-K BLOCK DM SOZ,1989,2006,,,,,,,,
GORIZONT 18 ULLAGE MOTOR,1989-052F,20116,5-Jul-89,12-Jan-93,2,0,36745,260,46.8,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1993,,,,,,,,
COSMOS 2030,1989-054A,20124,12-Jul-89,28-Jul-89,1,0,215,150,67.1,DELIBERATE,SELF-DESTRUCT,1989,1989,,,,,,,,
COSMOS 2031,1989-056A,20136,18-Jul-89,31-Aug-89,9,0,365,240,50.5,DELIBERATE,SELF-DESTRUCT,1989,1989,,,,,,,,
COBE R/B,1989-089B,20323,18-Nov-89,3-Dec-06,26,1,790,685,97.1,UNKNOWN,DELTA SECOND STAGE,1989,2006,,,,,,,,
COSMOS 2053 R/B,1989-100B,20390,27-Dec-89,18-Apr-99,26,0,485,475,73.5,PROPULSION,TSYKLON THIRD STAGE,1989,1999,,,,,,,,
COSMOS 2054 ULLAGE MOTOR,1989-101E,20399,27-Dec-89,1-Jul-92,14,2,27650,345,47.1,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1992,,,,,,,,
COSMOS 2079-81 ULLAGE MOTOR,1990-045F,20630,19-May-90,17-Nov-11,1,1,18620,420,65,PROPULSION,PROTON-K BLOCK DM SOZ,1990,2011,,,,,,,,
COSMOS 2079-81 ULLAGE MOTOR,1990-045G,20631,19-May-90,28-Mar-99,1,1,19065,405,64.8,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1999,,,,,,,,
FENGYUN 1-2 R/B,1990-081D,20791,3-Sep-90,4-Oct-90,103,75,895,880,98.9,PROPULSION,CZ-4 FINAL STAGE,1990,1990,,,,,,,,
COSMOS 2101,1990-087A,20828,1-Oct-90,30-Nov-90,4,0,280,195,64.8,DELIBERATE,SELF-DESTRUCT,1990,1990,,,,,,,,
GORIZONT 22 ULLAGE MOTOR,1990-102E,20957,23-Nov-90,14-Dec-95,2,1,13105,170,46.5,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1995,,,,,,,,
USA 68,1990-105A,20978,1-Dec-90,1-Dec-90,29,1,850,610,98.9,PROPULSION,TE-M-364-15 UPPER STAGE,1990,1990,,,,,,,,
COSMOS 2109-11 ULLAGE MOTOR,1990-110G,21012,8-Dec-90,21-Feb-03,1,1,18805,645,65.4,PROPULSION,PROTON-K BLOCK DM SOZ,1990,2003,,,,,,,,
COSMOS 2109-11 ULLAGE MOTOR,1990-110H,21013,8-Dec-90,14-Mar-98,2,2,18995,520,65.1,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1998,,,,,,,,
ITALSAT 1/EUTELSAT 2 F2 R/B,1991-003C,21057,15-Jan-91,1-May-96,15,12,30930,235,6.7,PROPULSION,ARIANE 4 H10 FINAL STAGE,1991,1996,,,,,,,,
COSMOS 2125-32 R/B,1991-009J,21108,12-Feb-91,5-Mar-91,112,112,1725,1460,74,PROPULSION,COSMOS SECOND STAGE,1991,1991,,,,,,,,
COSMOS 2133 ULLAGE MOTOR,1991-010D,21114,12-Feb-91,7-May-94,4,0,21805,225,46.6,PROPULSION,PROTON-K BLOCK DM SOZ,1991,1994,,,,,,,,
ASTRA 1B/MOP 2 R/B,1991-015C,21141,2-Mar-91,27-Apr-94,11,7,17630,205,6.8,PROPULSION,ARIANE 4 H10 FINAL STAGE,1991,1994,,,,,,,,
COSMOS 2139-41 ULLAGE MOTOR,1991-025F,21220,4-Apr-91,8-Mar-09,33,11,18535,465,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1991,2009,,,,,,,,
COSMOS 2139-41 ULLAGE MOTOR,1991-025G,21226,4-Apr-91,16-Jun-01,1,1,18960,300,64.5,PROPULSION,PROTON-K BLOCK DM SOZ,1991,2001,,,,,,,,
